timestamp,session_id,activity,left_ear,right_ear,average_ear
12.582,paper_001,paper_study,0.06843,0.14165,0.10504
12.615,paper_001,paper_study,0.06416,0.13611,0.10014
12.649,paper_001,paper_study,0.06426,0.12563,0.09494
12.682,paper_001,paper_study,0.06539,0.12307,0.09423
12.715,paper_001,paper_study,0.06754,0.13317,0.10036
12.749,paper_001,paper_study,0.06528,0.13414,0.09971
12.782,paper_001,paper_study,0.0651,0.13567,0.10038
12.815,paper_001,paper_study,0.06266,0.13839,0.10052
12.848,paper_001,paper_study,0.06443,0.13642,0.10042
12.882,paper_001,paper_study,0.06099,0.1395,0.10024
12.915,paper_001,paper_study,0.06629,0.1342,0.10025
12.949,paper_001,paper_study,0.06416,0.14139,0.10277
12.982,paper_001,paper_study,0.06344,0.13515,0.09929
13.015,paper_001,paper_study,0.06786,0.1398,0.10383
13.049,paper_001,paper_study,0.06978,0.12736,0.09857
13.081,paper_001,paper_study,0.0735,0.13847,0.10598
13.115,paper_001,paper_study,0.08028,0.12379,0.10204
13.148,paper_001,paper_study,0.07433,0.13051,0.10242
13.182,paper_001,paper_study,0.07494,0.12669,0.10081
13.216,paper_001,paper_study,0.06967,0.13689,0.10328
13.249,paper_001,paper_study,0.06902,0.13011,0.09957
13.282,paper_001,paper_study,0.06432,0.11515,0.08974
13.316,paper_001,paper_study,0.06285,0.11916,0.091
13.348,paper_001,paper_study,0.06742,0.11559,0.09151
13.382,paper_001,paper_study,0.06462,0.12238,0.0935
13.415,paper_001,paper_study,0.06794,0.12085,0.0944
13.449,paper_001,paper_study,0.05926,0.11967,0.08946
13.482,paper_001,paper_study,0.06087,0.10405,0.08246
13.515,paper_001,paper_study,0.0624,0.10411,0.08326
13.548,paper_001,paper_study,0.06728,0.09756,0.08242
13.582,paper_001,paper_study,0.06932,0.09,0.07966
13.615,paper_001,paper_study,0.14541,0.14759,0.1465
13.649,paper_001,paper_study,0.21326,0.29295,0.2531
13.682,paper_001,paper_study,0.26082,0.32219,0.2915
13.715,paper_001,paper_study,0.27106,0.33194,0.3015
13.749,paper_001,paper_study,0.27333,0.34005,0.30669
13.782,paper_001,paper_study,0.28481,0.33648,0.31064
13.815,paper_001,paper_study,0.28097,0.35243,0.3167
13.848,paper_001,paper_study,0.29568,0.36926,0.33247
13.882,paper_001,paper_study,0.31041,0.36913,0.33977
13.915,paper_001,paper_study,0.3161,0.37034,0.34322
13.948,paper_001,paper_study,0.31028,0.37091,0.34059
13.983,paper_001,paper_study,0.32053,0.35788,0.3392
14.016,paper_001,paper_study,0.32313,0.36361,0.34337
14.049,paper_001,paper_study,0.31723,0.36864,0.34294
14.082,paper_001,paper_study,0.31422,0.36652,0.34037
14.116,paper_001,paper_study,0.30746,0.38217,0.34482
14.15,paper_001,paper_study,0.32145,0.38325,0.35235
14.181,paper_001,paper_study,0.30915,0.37664,0.34289
14.217,paper_001,paper_study,0.3115,0.37965,0.34557
14.25,paper_001,paper_study,0.31491,0.38068,0.34779
14.282,paper_001,paper_study,0.32017,0.38461,0.35239
14.315,paper_001,paper_study,0.32501,0.39552,0.36026
14.349,paper_001,paper_study,0.33113,0.4083,0.36971
14.383,paper_001,paper_study,0.32791,0.41007,0.36899
14.416,paper_001,paper_study,0.3198,0.39862,0.35921
14.45,paper_001,paper_study,0.31578,0.38682,0.3513
14.483,paper_001,paper_study,0.3126,0.39564,0.35412
14.516,paper_001,paper_study,0.32526,0.38074,0.353
14.549,paper_001,paper_study,0.31911,0.41698,0.36805
14.582,paper_001,paper_study,0.31931,0.40839,0.36385
14.616,paper_001,paper_study,0.32008,0.41389,0.36698
14.649,paper_001,paper_study,0.32927,0.40246,0.36586
14.682,paper_001,paper_study,0.32239,0.3885,0.35545
14.716,paper_001,paper_study,0.30041,0.38431,0.34236
14.749,paper_001,paper_study,0.24642,0.296,0.27121
14.783,paper_001,paper_study,0.06581,0.08939,0.0776
14.816,paper_001,paper_study,0.06028,0.08353,0.07191
14.849,paper_001,paper_study,0.06404,0.08288,0.07346
14.883,paper_001,paper_study,0.05943,0.10827,0.08385
14.916,paper_001,paper_study,0.05748,0.10549,0.08149
14.95,paper_001,paper_study,0.06098,0.10081,0.0809
